# 3D Scattering Centers from SAR Imaging
# Model: rocket
# Center angles (deg): 30   45   60   75   90  105  120
# Sub-aperture: 10.0 deg
# Window: kaiser, CLEAN: maxIter=50, thresh=0.05, gain=0.50
# Total centers: 350
# Phase convention corrected: P_3d = -r*k_hat - x*k_perp
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  0.820421  0.000000  1.703989  2.140626e-04  60.0
  0.873696  0.000000  1.611715  2.018647e-04  60.0
  0.911158  0.000000  1.571828  2.061871e-04  60.0
  0.964432  0.000000  1.479554  2.192038e-04  60.0
  0.857884  0.000000  1.664102  2.353595e-04  60.0
  0.900333  0.000000  1.565578  2.069279e-04  60.0
  0.937795  0.000000  1.525691  1.916414e-04  60.0
  0.895346  0.000000  1.624215  2.112752e-04  60.0
  0.991070  0.000000  1.433417  2.170711e-04  60.0
  0.831247  0.000000  1.710239  2.095641e-04  60.0
  0.868709  0.000000  1.670352  2.063811e-04  60.0
  0.932809  0.000000  1.584328  2.113428e-04  60.0
  0.986083  0.000000  1.492054  2.027554e-04  60.0
  1.028532  0.000000  1.393530  2.036400e-04  60.0
  0.964432  0.000000  1.479554  1.997489e-04  60.0
  0.921983  0.000000  1.578078  2.148395e-04  60.0
  0.868709  0.000000  1.670352  1.928188e-04  60.0
  0.862870  0.000000  1.605465  1.935700e-04  60.0
  0.825408  0.000000  1.645352  2.023617e-04  60.0
  0.867857  0.000000  1.546828  1.984209e-04  60.0
  0.905319  0.000000  1.506941  2.134630e-04  60.0
  0.911158  0.000000  1.571828  2.012198e-04  60.0
  0.948621  0.000000  1.531941  2.031914e-04  60.0
  0.942782  0.000000  1.467054  2.044166e-04  60.0
  0.842072  0.000000  1.716489  1.989381e-04  60.0
  0.895346  0.000000  1.624215  2.214288e-04  60.0
  0.889507  0.000000  1.559328  2.113752e-04  60.0
  0.852045  0.000000  1.599215  2.039309e-04  60.0
  0.991070  0.000000  1.433417  1.928103e-04  60.0
  0.937795  0.000000  1.525691  2.162449e-04  60.0
  0.798771  0.000000  1.691489  1.910625e-04  60.0
  0.825408  0.000000  1.645352  2.061746e-04  60.0
  0.787945  0.000000  1.685239  1.952315e-04  60.0
  0.830394  0.000000  1.586715  1.969090e-04  60.0
  0.867857  0.000000  1.546828  2.088411e-04  60.0
  0.873696  0.000000  1.611715  2.147776e-04  60.0
  0.916145  0.000000  1.513191  2.128183e-04  60.0
  0.831247  0.000000  1.710239  2.005911e-04  60.0
  0.825408  0.000000  1.645352  1.991399e-04  60.0
  0.862870  0.000000  1.605465  2.094938e-04  60.0
  0.868709  0.000000  1.670352  2.043224e-04  60.0
  0.900333  0.000000  1.565578  2.006957e-04  60.0
  0.953607  0.000000  1.473304  2.020819e-04  60.0
  0.527757  0.000000  -0.134356  4.397552e-03  75.0
  0.553619  0.000000  -0.182580  4.799892e-03  75.0
  0.500180  0.000000  -0.031438  4.467303e-03  75.0
  0.581196  0.000000  -0.285498  4.411383e-03  75.0
  0.526043  0.000000  -0.079662  4.069152e-03  75.0
  0.555334  0.000000  -0.237274  4.059941e-03  75.0
