# 3D Scattering Centers Reconstruction
# Model: cone_bin
# Reference point: [0.0000, 0.0000, 0.3750] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 10.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.349948  0.000000  0.706439  6.597982e-05  30.0
  -0.423837  0.000000  0.734721  7.952409e-05  30.0
  -0.497726  0.000000  0.763004  6.332146e-05  30.0
  -0.276060  0.000000  0.678157  6.375612e-05  30.0
  -0.349948  0.000000  0.706439  6.105170e-05  30.0
  -0.423837  0.000000  0.734721  6.417184e-05  30.0
  -0.491500  0.000000  0.773787  5.908013e-05  30.0
  -0.417611  0.000000  0.745504  6.613683e-05  30.0
  -0.565389  0.000000  0.802069  5.691431e-05  30.0
  -0.343723  0.000000  0.717222  5.778335e-05  30.0
  -0.491500  0.000000  0.773787  5.492825e-05  30.0
  -0.417611  0.000000  0.745504  5.591564e-05  30.0
  -0.288511  0.000000  0.656591  5.390133e-05  30.0
  -0.214622  0.000000  0.628308  5.339679e-05  30.0
  -0.497726  0.000000  0.763004  4.669549e-05  30.0
  -0.423837  0.000000  0.734721  5.731453e-05  30.0
  -0.356174  0.000000  0.695656  5.124751e-05  30.0
  -0.282285  0.000000  0.667374  5.108387e-05  30.0
  -0.491500  0.000000  0.773787  5.322694e-05  30.0
  -0.565389  0.000000  0.802069  5.559695e-05  30.0
  -0.571614  0.000000  0.791286  5.117557e-05  30.0
  -0.497726  0.000000  0.763004  5.011114e-05  30.0
  -0.423837  0.000000  0.734721  5.216350e-05  30.0
  -0.349948  0.000000  0.706439  5.314834e-05  30.0
  -0.208397  0.000000  0.639092  4.858436e-05  30.0
  -0.491500  0.000000  0.773787  4.131877e-05  30.0
  -0.417611  0.000000  0.745504  4.717946e-05  30.0
  -0.282285  0.000000  0.667374  4.536800e-05  30.0
  -0.565389  0.000000  0.802069  4.534235e-05  30.0
  -0.639277  0.000000  0.830351  4.843449e-05  30.0
  -0.278941  0.000000  0.484605  2.185473e-03  60.0
  -0.328790  0.000000  0.546043  2.323325e-03  60.0
  -0.200811  0.000000  0.349279  2.273555e-03  60.0
  -0.150962  0.000000  0.287842  2.100281e-03  60.0
  -0.239876  0.000000  0.416942  2.001077e-03  60.0
  -0.289724  0.000000  0.478380  2.186939e-03  60.0
  -0.367855  0.000000  0.613706  2.002541e-03  60.0
  -0.318007  0.000000  0.552269  1.929237e-03  60.0
  -0.190028  0.000000  0.355505  2.036592e-03  60.0
  -0.239876  0.000000  0.416942  2.129281e-03  60.0
  -0.111897  0.000000  0.220179  1.763196e-03  60.0
  -0.161745  0.000000  0.281616  2.028376e-03  60.0
  -0.406920  0.000000  0.681369  1.596379e-03  60.0
  -0.357072  0.000000  0.619932  1.940340e-03  60.0
  -0.278941  0.000000  0.484605  1.688613e-03  60.0
  -0.229093  0.000000  0.423168  2.093528e-03  60.0
  -0.367855  0.000000  0.613706  1.571371e-03  60.0
  -0.417703  0.000000  0.675144  1.791936e-03  60.0
  -0.318007  0.000000  0.552269  1.694212e-03  60.0
  -0.268158  0.000000  0.490831  1.553401e-03  60.0
  -0.367855  0.000000  0.613706  1.552964e-03  60.0
  -0.328790  0.000000  0.546043  1.523971e-03  60.0
  -0.278941  0.000000  0.484605  1.590498e-03  60.0
  -0.406920  0.000000  0.681369  1.674708e-03  60.0
  -0.456769  0.000000  0.742807  1.716515e-03  60.0
  -0.150962  0.000000  0.287842  1.534613e-03  60.0
  -0.200811  0.000000  0.349279  1.677463e-03  60.0
