# 3D Scattering Centers Reconstruction
# Model: compond
# Reference point: [0.0000, 0.0000, 0.0000] m
# Center angles (deg): 30   60   90  120  150
# Aperture: 30.0 deg
# Total centers: 150
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.065353  0.000000  -0.972631  7.834462e-05  30.0
  -0.034293  0.000000  -0.976130  9.600178e-05  30.0
  -0.096413  0.000000  -0.969133  9.204823e-05  30.0
  -0.003233  0.000000  -0.979629  9.396377e-05  30.0
  -0.127473  0.000000  -0.965634  8.638629e-05  30.0
  0.021576  0.000000  -0.993953  8.336842e-05  30.0
  -0.009483  0.000000  -0.990454  9.106851e-05  30.0
  -0.040543  0.000000  -0.986955  9.309475e-05  30.0
  -0.071603  0.000000  -0.983457  8.741059e-05  30.0
  0.052636  0.000000  -0.997451  8.042497e-05  30.0
  0.027826  0.000000  -0.983127  8.006922e-05  30.0
  -0.102663  0.000000  -0.979958  7.304402e-05  30.0
  0.077446  0.000000  -1.011775  7.293745e-05  30.0
  -0.003233  0.000000  -0.979629  7.558431e-05  30.0
  -0.034293  0.000000  -0.976130  8.826665e-05  30.0
  -0.065353  0.000000  -0.972631  9.257314e-05  30.0
  -0.096413  0.000000  -0.969133  7.539848e-05  30.0
  0.021576  0.000000  -0.993953  7.385948e-05  30.0
  -0.009483  0.000000  -0.990454  8.435517e-05  30.0
  0.046386  0.000000  -1.008277  8.134030e-05  30.0
  0.015326  0.000000  -1.004778  8.253060e-05  30.0
  -0.040543  0.000000  -0.986955  8.039074e-05  30.0
  0.052636  0.000000  -0.997451  7.787834e-05  30.0
  0.083696  0.000000  -1.000950  8.471781e-05  30.0
  0.021576  0.000000  -0.993953  8.050285e-05  30.0
  -0.009483  0.000000  -0.990454  8.394532e-05  30.0
  -0.133723  0.000000  -0.976459  7.272940e-05  30.0
  -0.015733  0.000000  -1.001279  7.267944e-05  30.0
  0.108506  0.000000  -1.015274  7.191497e-05  30.0
  0.077446  0.000000  -1.011775  7.608999e-05  30.0
  -0.400537  0.000000  -0.231250  6.692834e-04  60.0
  -0.414861  0.000000  -0.206440  8.315597e-04  60.0
  -0.386213  0.000000  -0.256060  8.190181e-04  60.0
  -0.429185  0.000000  -0.181630  8.892809e-04  60.0
  -0.443509  0.000000  -0.156821  8.674949e-04  60.0
  -0.371889  0.000000  -0.280870  8.473798e-04  60.0
